density, u velocity, pressure, x points
0.596277,0.580888,0.485093,-0.233233
0.594456,0.58414,0.483027,-0.231231
0.59264,0.587392,0.480968,-0.229229
0.590828,0.590644,0.478917,-0.227227
0.589021,0.593895,0.476874,-0.225225
0.587219,0.597145,0.474838,-0.223223
0.585421,0.600395,0.47281,-0.221221
0.583628,0.603645,0.47079,-0.219219
0.58184,0.606894,0.468778,-0.217217
0.580056,0.610143,0.466774,-0.215215
0.578277,0.613391,0.464777,-0.213213
0.576503,0.616638,0.462788,-0.211211
0.574733,0.619885,0.460806,-0.209209
0.572969,0.623131,0.458833,-0.207207
0.571209,0.626376,0.456867,-0.205205
0.569453,0.62962,0.454908,-0.203203
0.567703,0.632864,0.452958,-0.201201
0.565957,0.636106,0.451015,-0.199199
0.564216,0.639348,0.44908,-0.197197
0.56248,0.642589,0.447152,-0.195195
0.560749,0.645828,0.445233,-0.193193
0.559022,0.649067,0.443321,-0.191191
0.557301,0.652304,0.441417,-0.189189
0.555584,0.65554,0.43952,-0.187187
0.553872,0.658775,0.437631,-0.185185
0.552165,0.662008,0.43575,-0.183183
0.550463,0.665241,0.433877,-0.181181
0.548766,0.668471,0.432012,-0.179179
0.547074,0.6717,0.430154,-0.177177
0.545387,0.674928,0.428304,-0.175175
0.543705,0.678154,0.426462,-0.173173
0.542028,0.681378,0.424628,-0.171171
0.540356,0.6846,0.422801,-0.169169
0.538689,0.68782,0.420982,-0.167167
0.537028,0.691038,0.419171,-0.165165
0.535371,0.694255,0.417368,-0.163163
0.53372,0.697469,0.415573,-0.161161
0.532074,0.70068,0.413786,-0.159159
0.530433,0.703889,0.412007,-0.157157
0.528798,0.707096,0.410236,-0.155155
0.527168,0.7103,0.408472,-0.153153
0.525543,0.713502,0.406717,-0.151151
0.523924,0.7167,0.40497,-0.149149
0.522311,0.719895,0.40323,-0.147147
0.520703,0.723088,0.401499,-0.145145
0.5191,0.726277,0.399777,-0.143143
0.517503,0.729462,0.398062,-0.141141
0.515912,0.732644,0.396355,-0.139139
0.514327,0.735822,0.394657,-0.137137
0.512748,0.738996,0.392967,-0.135135
0.511174,0.742166,0.391286,-0.133133
0.509606,0.745332,0.389613,-0.131131
0.508045,0.748493,0.387949,-0.129129
0.50649,0.75165,0.386293,-0.127127
0.504941,0.754801,0.384646,-0.125125
0.503398,0.757948,0.383007,-0.123123
0.501862,0.761088,0.381378,-0.121121
0.500332,0.764224,0.379757,-0.119119
0.498809,0.767353,0.378145,-0.117117
0.497292,0.770476,0.376542,-0.115115
0.495783,0.773592,0.374949,-0.113113
0.49428,0.776701,0.373365,-0.111111
0.492785,0.779803,0.37179,-0.109109
0.491296,0.782898,0.370225,-0.107107
0.489815,0.785985,0.368669,-0.105105
0.488342,0.789063,0.367123,-0.103103
0.486877,0.792132,0.365588,-0.101101
0.485419,0.795193,0.364062,-0.0990991
0.483969,0.798243,0.362546,-0.0970971
0.482528,0.801284,0.361041,-0.0950951
0.481095,0.804313,0.359547,-0.0930931
0.479671,0.807332,0.358063,-0.0910911
0.478256,0.810339,0.356591,-0.0890891
0.47685,0.813333,0.355129,-0.0870871
0.475453,0.816314,0.35368,-0.0850851
0.474066,0.819282,0.352241,-0.0830831
0.472689,0.822235,0.350815,-0.0810811
0.471322,0.825173,0.349401,-0.0790791
0.469965,0.828095,0.348,-0.0770771
0.46862,0.831,0.346612,-0.0750751
0.467286,0.833887,0.345236,-0.0730731
0.465963,0.836756,0.343875,-0.0710711
0.464653,0.839605,0.342527,-0.0690691
0.463354,0.842434,0.341193,-0.0670671
0.462069,0.845241,0.339874,-0.0650651
0.460797,0.848024,0.33857,-0.0630631
0.459538,0.850784,0.337282,-0.0610611
0.458294,0.853519,0.336009,-0.0590591
0.457065,0.856227,0.334753,-0.0570571
0.455851,0.858906,0.333514,-0.0550551
0.454653,0.861557,0.332293,-0.0530531
0.453471,0.864176,0.331089,-0.0510511
0.452306,0.866763,0.329905,-0.049049
0.451159,0.869316,0.328739,-0.047047
0.45003,0.871833,0.327593,-0.045045
0.44892,0.874312,0.326468,-0.043043
0.44783,0.876752,0.325364,-0.041041
0.446761,0.87915,0.324281,-0.039039
0.445713,0.881506,0.323221,-0.037037
0.444686,0.883816,0.322185,-0.035035
0.443683,0.886079,0.321172,-0.033033
0.442702,0.888294,0.320184,-0.031031
0.441746,0.890457,0.319221,-0.029029
0.440815,0.892566,0.318284,-0.027027
0.43991,0.894621,0.317374,-0.025025
0.439032,0.896619,0.316491,-0.023023
0.43818,0.898557,0.315637,-0.021021
0.437357,0.900435,0.314811,-0.019019
0.436562,0.90225,0.314015,-0.017017
0.435796,0.904,0.313248,-0.015015
0.43506,0.905685,0.312512,-0.013013
0.434354,0.907302,0.311807,-0.011011
0.43368,0.90885,0.311133,-0.00900901
0.433036,0.910329,0.31049,-0.00700701
0.432423,0.911738,0.30988,-0.00500501
0.431842,0.913075,0.3093,-0.003003
0.431292,0.91434,0.308753,-0.001001
0.430773,0.915535,0.308238,0.001001
0.430286,0.916658,0.307753,0.003003
0.42983,0.91771,0.3073,0.00500501
0.429404,0.918693,0.306878,0.00700701
0.429008,0.919607,0.306485,0.00900901
0.428641,0.920454,0.306122,0.011011
0.428302,0.921235,0.305787,0.013013
0.427991,0.921953,0.305479,0.015015
0.427706,0.92261,0.305198,0.017017
0.427446,0.923208,0.304943,0.019019
0.427211,0.923751,0.304711,0.021021
0.426998,0.92424,0.304502,0.023023
0.426807,0.92468,0.304314,0.025025
0.426636,0.925072,0.304147,0.027027
0.426483,0.925421,0.303998,0.029029
0.426348,0.92573,0.303866,0.031031
0.426228,0.926002,0.30375,0.033033
0.426123,0.92624,0.303649,0.035035
0.426032,0.926447,0.303561,0.037037
0.425952,0.926626,0.303485,0.039039
0.425883,0.926779,0.303419,0.041041
0.425824,0.926911,0.303363,0.043043
0.425772,0.927023,0.303316,0.045045
0.425729,0.927117,0.303276,0.047047
0.425692,0.927196,0.303242,0.049049
0.42566,0.927262,0.303214,0.0510511
0.425634,0.927316,0.303191,0.0530531
0.425611,0.927361,0.303172,0.0550551
0.425593,0.927397,0.303157,0.0570571
0.425577,0.927426,0.303144,0.0590591
0.425564,0.927449,0.303135,0.0610611
0.425552,0.927467,0.303127,0.0630631
0.425543,0.927481,0.303121,0.0650651
0.425535,0.927491,0.303116,0.0670671
0.425528,0.927499,0.303113,0.0690691
0.425522,0.927505,0.303111,0.0710711
0.425517,0.927508,0.303109,0.0730731
0.425512,0.927511,0.303108,0.0750751
0.425508,0.927512,0.303108,0.0770771
0.425504,0.927512,0.303107,0.0790791
0.4255,0.927512,0.303108,0.0810811
0.425497,0.927512,0.303108,0.0830831
0.425493,0.92751,0.303108,0.0850851
0.42549,0.927509,0.303109,0.0870871
0.425487,0.927508,0.303109,0.0890891
0.425483,0.927506,0.30311,0.0910911
0.42548,0.927505,0.303111,0.0930931
0.425477,0.927503,0.303112,0.0950951
0.425473,0.927501,0.303112,0.0970971
0.42547,0.9275,0.303113,0.0990991
0.425467,0.927498,0.303114,0.101101
0.425463,0.927497,0.303114,0.103103
0.425459,0.927495,0.303115,0.105105
0.425456,0.927494,0.303115,0.107107
0.425452,0.927492,0.303116,0.109109
0.425448,0.927491,0.303117,0.111111
0.425444,0.92749,0.303117,0.113113
0.42544,0.927489,0.303118,0.115115
0.425436,0.927488,0.303118,0.117117
0.425432,0.927487,0.303118,0.119119
0.425428,0.927486,0.303119,0.121121
0.425423,0.927485,0.303119,0.123123
0.425419,0.927484,0.30312,0.125125
0.425415,0.927483,0.30312,0.127127
0.42541,0.927482,0.30312,0.129129
0.425406,0.927482,0.303121,0.131131
0.425401,0.927481,0.303121,0.133133
0.425396,0.92748,0.303121,0.135135
0.425392,0.927479,0.303122,0.137137
0.425387,0.927479,0.303122,0.139139
0.425382,0.927478,0.303122,0.141141
0.425377,0.927478,0.303122,0.143143
0.425372,0.927477,0.303123,0.145145
0.425367,0.927477,0.303123,0.147147
0.425361,0.927476,0.303123,0.149149
0.425356,0.927476,0.303123,0.151151
0.425351,0.927475,0.303123,0.153153
0.425345,0.927475,0.303124,0.155155
0.42534,0.927474,0.303124,0.157157
0.425334,0.927474,0.303124,0.159159
0.425329,0.927473,0.303124,0.161161
0.425323,0.927473,0.303124,0.163163
0.425317,0.927473,0.303125,0.165165
0.425311,0.927472,0.303125,0.167167
0.425305,0.927472,0.303125,0.169169
0.425299,0.927472,0.303125,0.171171
0.425293,0.927471,0.303125,0.173173
0.425287,0.927471,0.303125,0.175175
0.42528,0.927471,0.303125,0.177177
0.425274,0.92747,0.303126,0.179179
0.425267,0.92747,0.303126,0.181181
0.425261,0.92747,0.303126,0.183183
0.425254,0.92747,0.303126,0.185185
0.425247,0.92747,0.303126,0.187187
0.42524,0.927469,0.303126,0.189189
0.425233,0.927469,0.303126,0.191191
0.425226,0.927469,0.303126,0.193193
0.425219,0.927469,0.303126,0.195195
0.425212,0.927469,0.303126,0.197197
0.425204,0.927468,0.303126,0.199199
0.425197,0.927468,0.303127,0.201201
0.425189,0.927468,0.303127,0.203203
0.425181,0.927468,0.303127,0.205205
0.425174,0.927468,0.303127,0.207207
0.425166,0.927468,0.303127,0.209209
0.425157,0.927467,0.303127,0.211211
0.425149,0.927467,0.303127,0.213213
0.425141,0.927467,0.303127,0.215215
0.425132,0.927467,0.303127,0.217217
0.425124,0.927467,0.303127,0.219219
0.425115,0.927467,0.303127,0.221221
0.425106,0.927467,0.303127,0.223223
0.425097,0.927467,0.303127,0.225225
0.425088,0.927467,0.303127,0.227227
0.425078,0.927467,0.303127,0.229229
0.425069,0.927467,0.303127,0.231231
0.425059,0.927466,0.303127,0.233233
0.425049,0.927466,0.303127,0.235235
0.425039,0.927466,0.303127,0.237237
0.425029,0.927466,0.303127,0.239239
0.425019,0.927466,0.303127,0.241241
0.425008,0.927466,0.303128,0.243243
0.424998,0.927466,0.303128,0.245245
0.424987,0.927466,0.303128,0.247247
0.424976,0.927466,0.303128,0.249249
0.424964,0.927466,0.303128,0.251251
0.424953,0.927466,0.303128,0.253253
0.424941,0.927466,0.303128,0.255255
0.424929,0.927466,0.303128,0.257257
0.424917,0.927466,0.303128,0.259259
0.424905,0.927466,0.303128,0.261261
0.424892,0.927466,0.303128,0.263263
0.424879,0.927466,0.303128,0.265265
0.424866,0.927466,0.303128,0.267267
0.424853,0.927466,0.303128,0.269269
0.424839,0.927466,0.303128,0.271271
0.424825,0.927466,0.303128,0.273273
0.424811,0.927466,0.303128,0.275275
0.424796,0.927466,0.303128,0.277277
0.424782,0.927467,0.303128,0.279279
0.424766,0.927467,0.303128,0.281281
0.424751,0.927467,0.303128,0.283283
0.424735,0.927467,0.303127,0.285285
0.424719,0.927467,0.303127,0.287287
0.424703,0.927467,0.303127,0.289289
0.424686,0.927467,0.303127,0.291291
0.424669,0.927467,0.303127,0.293293
0.424651,0.927467,0.303127,0.295295
0.424633,0.927467,0.303127,0.297297
0.424614,0.927468,0.303127,0.299299
0.424595,0.927468,0.303127,0.301301
0.424576,0.927468,0.303127,0.303303
0.424556,0.927468,0.303127,0.305305
